Time,flink,Label
20487,1,counter
20562,5,counter
20659,56,counter
20759,107,counter
20860,158,counter
20959,242,counter
21060,357,counter
21159,473,counter
21259,597,counter
21359,703,counter
21459,798,counter
21559,900,counter
60967,1001,counter
61060,1066,counter
61159,1130,counter
61259,1214,counter
61359,1306,counter
61460,1379,counter
61559,1438,counter
61660,1495,counter
61760,1557,counter
61860,1606,counter
61963,1657,counter
62059,1744,counter
62159,1818,counter
62260,1909,counter
62360,1984,counter
89483,2001,counter
89559,2050,counter
390725,2101,counter
390761,2119,counter
587244,2201,counter
587260,2209,counter
587359,2291,counter
749514,2301,counter
749559,2318,counter
749659,2371,counter
817249,2401,counter
817259,2405,counter
1328494,2501,counter
1328559,2538,counter
1353946,2601,counter
1353961,2605,counter
1354059,2648,counter
1354160,2683,counter
1408401,2701,counter
1408459,2751,counter
1420552,2801,counter
1420560,2805,counter
1435487,2901,counter
1435559,2949,counter
1462765,3001,counter
1462859,3056,counter
1491665,3101,counter
1535047,3201,counter
1535060,3209,counter
1535160,3280,counter
