Time,storm,Label
43107,1,counter
43152,47,counter
43252,257,counter
43352,476,counter
84567,501,counter
84652,583,counter
84752,732,counter
84853,947,counter
104310,1001,counter
104352,1078,counter
104452,1217,counter
104552,1359,counter
104653,1503,counter
104753,1657,counter
104852,1814,counter
104953,1952,counter
105059,2088,counter
105152,2236,counter
105253,2387,counter
105352,2561,counter
105453,2737,counter
105552,2914,counter
105660,3077,counter
105753,3212,counter
105852,3387,counter
105952,3550,counter
106052,3755,counter
106152,3904,counter
106253,4085,counter
106352,4253,counter
106452,4427,counter
106552,4582,counter
106652,4744,counter
106753,4925,counter
106853,5109,counter
106952,5293,counter
107053,5489,counter
107152,5653,counter
107253,5869,counter
123203,6001,counter
123253,6109,counter
123355,6325,counter
123452,6541,counter
123553,6721,counter
123652,6898,counter
123752,7090,counter
123852,7227,counter
123952,7426,counter
124052,7598,counter
124152,7740,counter
124252,7929,counter
124352,8122,counter
124452,8352,counter
124552,8585,counter
124652,8763,counter
124753,8962,counter
124852,9124,counter
124952,9361,counter
125053,9606,counter
125153,9819,counter
125252,10030,counter
125353,10186,counter
125452,10422,counter
125553,10586,counter
125652,10779,counter
125771,10906,counter
125853,11032,counter
125953,11224,counter
126053,11418,counter
126152,11599,counter
126254,11783,counter
126352,11942,counter
126453,12076,counter
126553,12270,counter
126652,12472,counter
126752,12668,counter
126852,12876,counter
126952,13101,counter
127053,13296,counter
127152,13440,counter
127253,13645,counter
127352,13861,counter
127452,14082,counter
127553,14228,counter
127652,14411,counter
127753,14610,counter
127852,14806,counter
127952,15013,counter
128052,15244,counter
128152,15464,counter
128252,15588,counter
128353,15751,counter
128453,15993,counter
128552,16222,counter
128656,16370,counter
128752,16599,counter
128852,16782,counter
128952,16984,counter
129053,17178,counter
129164,17340,counter
129253,17513,counter
129352,17706,counter
129452,17912,counter
129553,18072,counter
129653,18255,counter
129753,18478,counter
129852,18679,counter
129952,18913,counter
130052,19130,counter
130152,19356,counter
130277,19571,counter
130352,19702,counter
130452,19859,counter
130552,20086,counter
130652,20267,counter
130753,20454,counter
130853,20603,counter
130953,20783,counter
131057,20944,counter
131152,21101,counter
131253,21281,counter
131352,21499,counter
131452,21693,counter
Time,storm,Label
54645,1,counter
Time,storm,Label
24419,1,counter
32544,2,counter
32607,35,counter
32708,83,counter
38069,102,counter
38109,123,counter
38208,181,counter
38308,241,counter
38408,304,counter
38508,361,counter
38608,421,counter
38708,480,counter
38809,542,counter
38907,593,counter
39009,644,counter
39107,693,counter
39208,746,counter
39310,800,counter
39408,854,counter
39508,915,counter
39608,970,counter
39707,1031,counter
39820,1095,counter
39907,1140,counter
40009,1189,counter
40108,1242,counter
40207,1300,counter
40308,1355,counter
40409,1412,counter
40507,1467,counter
40608,1530,counter
40707,1598,counter
40807,1666,counter
40907,1729,counter
41007,1798,counter
41107,1868,counter
41207,1926,counter
41307,1993,counter
41408,2062,counter
41507,2125,counter
41608,2195,counter
41707,2254,counter
41808,2324,counter
41909,2387,counter
42008,2448,counter
42107,2504,counter
42208,2565,counter
42309,2617,counter
42409,2666,counter
42509,2717,counter
42608,2766,counter
42708,2825,counter
42809,2881,counter
42908,2937,counter
43007,2997,counter
43107,3052,counter
43208,3117,counter
43307,3175,counter
43408,3242,counter
43508,3299,counter
43608,3365,counter
43707,3433,counter
43807,3499,counter
43907,3567,counter
44008,3630,counter
44107,3700,counter
44207,3757,counter
44307,3814,counter
44408,3884,counter
44507,3948,counter
44607,4016,counter
44707,4079,counter
44808,4149,counter
44907,4217,counter
45007,4287,counter
45107,4356,counter
45208,4427,counter
45307,4496,counter
45408,4564,counter
45508,4630,counter
45608,4699,counter
45708,4769,counter
45807,4835,counter
45907,4901,counter
46007,4960,counter
46108,5031,counter
46207,5099,counter
46308,5167,counter
46407,5233,counter
46508,5302,counter
46607,5366,counter
46708,5432,counter
46808,5502,counter
46907,5568,counter
47009,5636,counter
47109,5690,counter
47207,5751,counter
47307,5815,counter
47407,5883,counter
47508,5950,counter
47607,6019,counter
47707,6088,counter
47807,6157,counter
47907,6226,counter
48008,6294,counter
48107,6364,counter
48208,6428,counter
48308,6486,counter
48408,6555,counter
48507,6622,counter
48608,6681,counter
48708,6738,counter
48807,6802,counter
48908,6867,counter
49007,6936,counter
49107,7006,counter
49208,7076,counter
49307,7147,counter
49407,7213,counter
49507,7280,counter
49608,7347,counter
49707,7415,counter
49807,7487,counter
49907,7549,counter
50008,7619,counter
50107,7685,counter
50207,7740,counter
50307,7801,counter
50407,7870,counter
50507,7936,counter
50608,8004,counter
50707,8073,counter
50807,8143,counter
50907,8212,counter
51008,8282,counter
51107,8349,counter
51208,8419,counter
51307,8486,counter
51407,8556,counter
51508,8624,counter
51607,8693,counter
51707,8756,counter
51807,8815,counter
51907,8886,counter
52008,8951,counter
52107,9022,counter
52207,9089,counter
52307,9159,counter
52407,9222,counter
52507,9291,counter
52608,9360,counter
52707,9425,counter
52807,9494,counter
52908,9563,counter
53007,9631,counter
53107,9701,counter
53208,9758,counter
53308,9811,counter
53407,9867,counter
53507,9927,counter
53608,9993,counter
